,rest_name,rest_category,rest_number,rest_address,rest_location,rest_rating,rest_density,recommend
938,송담추어탕,한식,02 5760266,서울특별시 강남구 도곡동 514-5번지 ,"[37.4839841, 127.0423656]",94.17,38.62,55.285
939,만랩커피 삼성1호점,분식,02 5630807,서울특별시 강남구 삼성동 162-23번지 104호 ,"[37.5141269, 127.063837]",63.19,45.06,50.498999999999995
940,에그드랍 역삼역점,분식,02 5658450,서울특별시 강남구 역삼동 644-9번지 지상1층 ,"[37.5015637, 127.0351811]",74.22,11.45,30.281
941,더화덕,통닭(치킨),02 5673392,서울특별시 강남구 역삼동 727-14번지 ,"[37.4969325, 127.0390802]",98.8,41.3,58.55
942,라포레,경양식,02 5405957,서울특별시 강남구 청담동 75-1번지 현대상가 지하1층 ,"[37.5193565, 127.0515067]",83.69,60.4,67.387
943,군불노,경양식,02  517 3178,서울특별시 강남구 청담동 80-2번지 ,"[37.5266458, 127.0438853]",73.33,19.89,35.922
944,돼지코코,한식,02 5423238,서울특별시 강남구 논현동 147-19번지 ,"[37.5098492, 127.0261151]",71.22,17.05,33.301
945,리빙빈대떡,분식,02 5756535,서울특별시 강남구 개포동 1237-9번지 1층 ,"[37.4782315, 127.0467886]",88.23,54.44,64.577
946,오엔 바앤다이닝,경양식,02 5168788,서울특별시 강남구 압구정동 380-2 한강잠원지구수상유선,"[37.5206865, 127.0122724]",71.24,72.15,71.877
947,대치동집,한식,02 5552233,서울특별시 강남구 대치동 896-1번지 옥원빌딩1층 ,"[37.5032567, 127.0517557]",60.44,68.45,66.047
948,타임머신,분식,02 5171292,서울특별시 강남구 논현동 61-18번지 지상1층 ,"[37.5201173, 127.0318879]",63.7,63.02,63.224
949,곤지암소머리국밥,한식,02 4592378,서울특별시 강남구 개포동 12번지 대치종합상가지하2호 ,"[37.49396540000001, 127.0750977]",80.25,68.09,71.738
950,정든집,분식,02 5435870,서울특별시 강남구 신사동 661-14번지 1층 ,"[37.5274922, 127.0388195]",95.89,79.03,84.088
951,레몬도시락,분식,02  565 6780,서울특별시 강남구 삼성동 144-14번지 ,"[37.5079717, 127.0553302]",51.34,80.09,71.465
952,비비큐 대치은마점,분식,02 5386006,서울특별시 강남구 대치동 992-4번지 ,"[37.499966, 127.0661061]",90.67,75.54,80.07900000000001
953,길동우동 신사,경양식,02 5425025,서울특별시 강남구 논현동 17-8 지상1층,"[37.514757, 127.0203185]",86.14,8.12,31.525999999999996
954,젠,경양식,02 3257948,서울특별시 강남구 논현동 108 논현웰스톤,"[37.5184174, 127.0380027]",78.2,28.92,43.704
955,(주)에땅끌레르,경양식,02 5475574,서울특별시 강남구 삼성동 70-6 지상123층,"[37.5144538, 127.0528413]",52.3,83.81,74.357
956,오페라,경양식,02 5110048,서울특별시 강남구 신사동 651-8,"[37.5231917, 127.0365227]",55.25,90.63,80.01599999999999
957,이즈미,한식,02 5110107,서울특별시 강남구 신사동 621-3번지 ,"[37.5269822, 127.0329679]",64.69,12.07,27.856
958,푸드카페,분식,02 5654036,서울특별시 강남구 대치동 956-6번지 1층 ,"[37.5061296, 127.0600269]",81.93,88.04,86.207
959,국보전,한식,02 5385029,서울특별시 강남구 삼성동 152-16번지 ,"[37.5103757, 127.055896]",61.45,89.77,81.27399999999999
960,강진수산수산물직판장,일식,02 5621155,서울특별시 강남구 역삼동 707-38번지 지하1층 ,"[37.50317150000001, 127.0471027]",70.96,89.86,84.19
961,처음,경양식,02 5524256,서울특별시 강남구 역삼동 659-10번지 ,"[37.5049377, 127.0354578]",82.39,58.83,65.898
962,담뿍화로된장,한식,02 5567863,서울특별시 강남구 역삼동 738-13번지 ,"[37.4986394, 127.0372341]",76.34,49.4,57.482
963,매화,경양식,02 5152955,서울특별시 강남구 신사동 660-8번지 지하1층 ,"[37.5281428, 127.0380565]",99.77,14.73,40.242
964,와세다야청담점,한식,02 5471107,서울특별시 강남구 청담동 126-8번지 1층2층 ,"[37.5255757, 127.0513092]",72.73,42.68,51.69499999999999
965,페리카나양념통닭,분식,02 2269255,서울특별시 강남구 세곡동 124-2번지 ,"[37.464074, 127.1072239]",85.78,29.44,46.342
966,거기,분식,02 5545138,서울특별시 강남구 역삼동 836-0번지 한스빌상가 103호,"[37.4920171, 127.032994]",65.09,80.31,75.744
967,김밥천국,한식,02 4452056,서울특별시 강남구 수서동 725-1번지 목화오피스텔102 ,"[37.4869079, 127.103404]",54.05,37.69,42.598
968,페블,경양식,02  34440905,서울특별시 강남구 청담동 52-8번지 ,"[37.5241452, 127.0528127]",52.82,51.81,52.113
969,리엔,중국식,02 5764888,서울특별시 강남구 개포동 1214-18번지 지상1층 ,"[37.478593, 127.0496151]",91.32,25.74,45.413999999999994
970,허당맛선생,한식,02 5176921,서울특별시 강남구 논현동 214-24번지 ,"[37.5128117, 127.0337695]",67.21,20.58,34.568999999999996
971,월드맛집,분식,02 5188243,서울특별시 강남구 신사동 559-16번지 지상 1층 ,"[37.5198828, 127.0260571]",66.53,31.98,42.345
972,강남김밥,분식,02 5629335,서울특별시 강남구 대치동 940-8번지 1층 ,"[37.49844, 127.0585569]",73.57,61.64,65.219
973,동천홍 논현점,한식,02 5478885,서울특별시 강남구 논현동 65-3번지 12층 ,"[37.5192359, 127.0300022]",91.63,29.94,48.446999999999996
974,(주)구즈구내식당,한식,02 5577937,서울특별시 강남구 삼성동 141-28번지 동신빌딩 ,"[37.5053214, 127.0504086]",64.38,8.05,24.948999999999998
975,평안도찹쌀순대전문점,중국식,02 5551353,서울특별시 강남구 역삼동 810-1번지 ,"[37.5036778, 127.025874]",51.61,53.08,52.638999999999996
976,맘스터치 강남역점,경양식,02 5666084,서울특별시 강남구 역삼동 619-15번지 2층 ,"[37.5015927, 127.0268557]",64.7,13.29,28.713
977,후지,일식,02 5679880,서울특별시 강남구 대치동 943-17번지 지하1층지상1층 ,"[37.5061448, 127.0592248]",50.18,27.24,34.122
978,주식회사 팔레드고몽,경양식,02 5493997,서울특별시 강남구 청담동 118-10번지 지상1층 ,"[37.5257531, 127.0472658]",91.19,23.98,44.143
979,더미트,한식,02 5612418,서울특별시 강남구 역삼동 810-4번지 1층 ,"[37.50354220000001, 127.0261472]",89.72,30.85,48.510999999999996
980,고추장불고기,분식,02 5473477,서울특별시 강남구 논현동 165-19번지 ,"[37.5074751, 127.0238408]",75.18,77.5,76.804
981,스테이터 강남역점,분식,02 5585788,서울특별시 강남구 역삼동 812-0번지 ,"[37.5029389, 127.0268529]",70.73,55.78,60.265
982,다원,중국식,02 5674764,서울특별시 강남구 역삼동 836-37번지 지상1층 ,"[37.4910015, 127.0341817]",58.34,70.15,66.607
983,알에스디,한식,02 5446979,서울특별시 강남구 신사동 591-6번지 ,"[37.5218982, 127.0296397]",99.71,0.81,30.479999999999997
984,시골밥상,분식,02 5672222,서울특별시 강남구 삼성동 141-0번지 지하1층8호 ,"[37.5055641, 127.04915]",79.85,21.99,39.348
985,펠리체,경양식,02 5388610,서울특별시 강남구 대치동 903-4번지 ,"[37.5027028, 127.0569596]",93.0,7.94,33.458
986,빅토리아,경양식,02 5273194,서울특별시 강남구 역삼동 705-1번지 빅토리아빌딩 지하1층 2호 ,"[37.504377, 127.0472145]",77.02,28.86,43.30799999999999
987,땀땀,한식,02 5579233,서울특별시 강남구 역삼동 817-31번지 ,"[37.5003764, 127.0279606]",69.65,65.01,66.402
988,제일숯불바베큐,분식,02 5677650,서울특별시 강남구 삼성동 127-13번지 ,"[37.5103423, 127.0544237]",74.23,65.79,68.322
989,에머이 가로수길,경양식,02 5141413,서울특별시 강남구 신사동 540-22번지 지상1층 ,"[37.5188195, 127.0240799]",96.97,31.97,51.47
990,남호식당,한식,02 5636272,서울특별시 강남구 역삼동 739-5번지 ,"[37.4987464, 127.036095]",76.0,83.23,81.06099999999999
991,딕훼밀리7080,경양식,02 5712471,서울특별시 강남구 도곡동 946-12번지 ,"[37.48853829999999, 127.032775]",83.87,89.76,87.993
992,대청 만찬,한식,02 4597924,서울특별시 강남구 개포동 13-3번지 대청타워지하1층125126127호 ,"[37.49050829999999, 127.0792227]",64.26,31.14,41.076
993,알로아,경양식,02 5457141,서울특별시 강남구 신사동 643-26번지 ,"[37.5270166, 127.0361918]",56.82,10.09,24.108999999999998
994,북촌순대,한식,02 5166030,서울특별시 강남구 논현동 229-5 푸빌,"[37.50963429999999, 127.034842]",66.68,90.59,83.417
995,프렌즈,경양식,02 5632666,서울특별시 강남구 대치동 990-0번지 삼성상가 지하1층 3호 ,"[37.508861, 127.063149]",70.12,69.85,69.931
996,이십일,경양식,02 5680858,서울특별시 강남구 대치동 956-21번지 지하1층 ,"[37.5058361, 127.0601719]",52.67,38.49,42.744
997,휴,경양식,02 5403812,서울특별시 강남구 청담동 86-4번지 ,"[37.5238744, 127.0400267]",84.34,31.82,47.57599999999999
998,간코 강남점,경양식,02 5083537,서울특별시 강남구 역삼동 813-12,"[37.5021632, 127.0269761]",94.26,74.67,80.547
999,강남설렁탕,한식,02 5146375,서울특별시 강남구 논현동 141-4번지 ,"[37.5103921, 127.0227893]",87.94,95.63,93.32299999999998
1000,통돼지,한식,02 5553926,서울특별시 강남구 역삼동 839-3 지상1층,"[37.4906427, 127.0338312]",97.13,36.08,54.394999999999996
1001,샘,경양식,02 5392486,서울특별시 강남구 역삼동 668-8번지 ,"[37.503513, 127.0364341]",56.95,34.56,41.277
1002,안방,중국식,02 5172920,서울특별시 강남구 논현동 114-13번지 ,"[37.5168957, 127.0363672]",67.07,74.98,72.607
1003,화계식당,한식,02 5184229,서울특별시 강남구 신사동 512-10,"[37.5177352, 127.0214289]",99.02,83.69,88.28899999999999
1004,돈정,한식,02 5381959,서울특별시 강남구 역삼동 644-9번지 지하1층 ,"[37.5015637, 127.0351811]",94.57,28.46,48.293
1005,장서는 날,한식,02 5616658,서울특별시 강남구 역삼동 827-68번지 ,"[37.4956706, 127.0321832]",71.51,34.46,45.575
1006,JVL부대찌개 삼성본점,한식,02  568 8288,서울특별시 강남구 삼성동 152-51번지 ,"[37.5097371, 127.0562626]",63.61,32.07,41.532
1007,아름식당,분식,02 5153861,서울특별시 강남구 삼성동 47-0번지 ,"[37.5138896, 127.048791]",89.49,49.43,61.44799999999999
1008,해초록,일식,02 5629980,서울특별시 강남구 대치동 1006-18번지 12층 ,"[37.5047481, 127.0659063]",50.4,35.72,40.123999999999995
1009,도리토리본점,한식,02 5452847,서울특별시 강남구 논현동 242-47번지 ,"[37.5154864, 127.0413354]",93.59,87.17,89.096
1010,시카고,경양식,02 5385574,서울특별시 강남구 역삼동 797-1번지 ,"[37.4948703, 127.0390082]",69.65,13.89,30.618
1011,지,한식,02 5172550,서울특별시 강남구 신사동 529-2번지 ,"[37.5232467, 127.0212902]",84.35,31.93,47.65599999999999
1012,돈수백,경양식,02 5554355,서울특별시 강남구 역삼동 601-12번지 지상1층 ,"[37.5039952, 127.0259106]",59.91,81.49,75.01599999999999
1013,(주)아이포그코리아(팬케이크스퀘어),한식,02 4772977,서울특별시 강남구 신사동 579-6번지 태암빌딩1층 ,"[37.5259347, 127.0270939]",62.73,15.22,29.473
1014,개성족발,한식,02 5475567,서울특별시 강남구 대치동 978-6번지 ,"[37.5014252, 127.0629755]",81.99,73.76,76.229
1015,오므토토마토,경양식,02 5755223,서울특별시 강남구 삼성동 159-9번지 T4 ,"[37.5102323, 127.0601688]",84.39,50.53,60.687999999999995
1016,한솥도시락,분식,02 5663772,서울특별시 강남구 역삼동 734-23번지 1층 101동 ,"[37.4964589, 127.0402273]",89.18,13.5,36.204
1017,내림손 삼계탕,한식,02 5547266,서울특별시 강남구 역삼동 726-15번지 지상1층 ,"[37.4984934, 127.0384506]",86.43,36.98,51.815
1018,옛날칼국수,분식,02 5360220,서울특별시 강남구 삼성동 159-9번지 (매장번호AF12) ,"[37.5102323, 127.0601688]",61.83,74.01,70.356
1019,이모네,한식,02 5449263,서울특별시 강남구 청담동 5-0번지 경원하이츠텔106 ,"[37.5236425, 127.0449328]",58.53,72.38,68.225
1020,써브웨이,분식,02 5710282,서울특별시 강남구 도곡동 957-13번지 지상1층 ,"[37.4849505, 127.0353417]",73.96,5.25,25.863
1021,팔일삼 두번째이야기,경양식,02 5174242,서울특별시 강남구 신사동 514-8번지 1층 ,"[37.5177227, 127.0220931]",60.18,2.84,20.041999999999998
1022,문어랑 상록점,한식,02 5662692,서울특별시 강남구 역삼동 699번지 ,"[37.5053961, 127.0425231]",98.07,0.82,29.994999999999997
1023,캘리포니아치킨,경양식,02 5170244,서울특별시 강남구 신사동 526-1번지 ,"[37.5218319, 127.0198685]",88.11,51.97,62.812
1024,차차차,한식,02 5668522,서울특별시 강남구 삼성동 115-29번지 ,"[37.5117418, 127.0505082]",54.88,85.75,76.489
1025,오봉참치,경양식,02 5654939,서울특별시 강남구 역삼동 817-18번지 정해빌딩 2층동 ,"[37.5000487, 127.0282136]",55.97,69.68,65.56700000000001
1026,더블유,경양식,02 5773702,서울특별시 강남구 대치동 891-43번지 엠에스에이빌딩 ,"[37.50538179999999, 127.0551739]",73.87,10.55,29.546
1027,심뽕,한식,02 5162446,서울특별시 강남구 신사동 663-23번지 ,"[37.526109, 127.0388158]",81.17,87.53,85.62199999999999
1028,도모다찌,경양식,02 6126002,서울특별시 강남구 삼성동 159번지 지하1층 ,"[37.5101935, 127.0585824]",94.75,50.18,63.551
1029,의정부부대찌개,한식,02 5510845,서울특별시 강남구 대치동 955-6번지 지상1층 ,"[37.5050478, 127.059389]",73.47,61.82,65.315
1030,역삼주먹고기,한식,02  566 6399,서울특별시 강남구 역삼동 790-7번지 지상1층 ,"[37.4955634, 127.039031]",52.11,98.67,84.702
1031,삼원명가,한식,02 5677314,서울특별시 강남구 역삼동 823-1번지 ,"[37.4987837, 127.0319542]",70.39,49.14,55.515
1032,제이앤케이,경양식,02 5177738,서울특별시 강남구 청담동 90-0번지 ,"[37.5257456, 127.0426545]",91.32,72.56,78.188
1033,사주닷컴,경양식,02 5174888,서울특별시 강남구 신사동 662-14번지 ,"[37.5272337, 127.0389428]",82.67,48.43,58.702
1034,천국,분식,02 5182445,서울특별시 강남구 논현동 116-0번지 지상1층 ,"[37.5165928, 127.0374503]",72.08,46.37,54.083
1035,일품도시락,분식,02 5426879,서울특별시 강남구 신사동 615-1번지 (1층23호) ,"[37.5280662, 127.0309955]",81.86,3.4,26.938
1036,재미난조각가,한식,02 5171222,서울특별시 강남구 신사동 655-2번지 (지상1층) ,"[37.5252326, 127.0382976]",64.2,35.86,44.361999999999995
1037,한울타리,한식,02 5641689,서울특별시 강남구 대치동 1019-13 금마빌딩,"[37.5039884, 127.0608521]",54.48,12.15,24.848999999999997
1038,정통중화요리 홍짬뽕,중국식,02 5669988,서울특별시 강남구 역삼동 828-52번지 1호1층 ,"[37.49623649999999, 127.0339424]",72.85,69.73,70.666
1039,영심이는(세컨드),경양식,02 5550257,서울특별시 강남구 대치동 943-8번지 ,"[37.5065656, 127.0586517]",81.49,39.83,52.327999999999996
1040,클래식,경양식,02 5112691,서울특별시 강남구 청담동 45-4번지 ,"[37.5183881, 127.0466174]",72.74,81.68,78.998
1041,딘,한식,02 5143110,서울특별시 강남구 신사동 654-1번지 2층 ,"[37.52462999999999, 127.0381039]",79.34,27.18,42.828
1042,한국촌,한식,02 5538006,서울특별시 강남구 대치동 950번지 우정에쉐르 지하1층B101~109호 ,"[37.4969255, 127.0532731]",59.53,26.08,36.114999999999995
1043,동진참치,한식,02 5746986,서울특별시 강남구 도곡동 411-11번지 지상2층 ,"[37.4855127, 127.0437584]",56.29,42.79,46.839999999999996
1044,이화 숯불갈비,한식,02 5565331,서울특별시 강남구 역삼동 672-31번지 ,"[37.5032468, 127.0392628]",66.84,42.91,50.089
1045,민들레,한식,02 5163321,서울특별시 강남구 삼성동 92-1번지 지하1층지상1층 ,"[37.516467, 127.061568]",91.91,69.49,76.216
1046,밀크바,한식,02 5145872,서울특별시 강남구 신사동 646-20번지 (1층) ,"[37.5256896, 127.036882]",99.94,50.72,65.48599999999999
1047,아지트,한식,02 5415941,서울특별시 강남구 논현동 190-3번지 ,"[37.5085409, 127.0315907]",53.06,94.66,82.18
1048,핑가스존,경양식,02 5179121,서울특별시 강남구 신사동 665-12번지 (지상2층) ,"[37.5252469, 127.0389479]",93.53,66.63,74.69999999999999
1049,나무,경양식,02 5128017,서울특별시 강남구 청담동 100-16번지 ,"[37.5266382, 127.0461809]",86.48,50.03,60.965
1050,꼴깍,한식,02 5468736,서울특별시 강남구 신사동 561-9번지 ,"[37.5192281, 127.0250022]",54.33,36.08,41.55499999999999
1051,아라,경양식,02 5670206,서울특별시 강남구 역삼동 604-5 지하1층,"[37.5054944, 127.0304945]",68.93,32.3,43.289
1052,신의주찹쌀순대전문점,한식,02 5458780,서울특별시 강남구 청담동 71-18번지 외1필지 ,"[37.5215125, 127.0554208]",86.76,67.79,73.48100000000001
1053,쇼우,한식,02 5539858,서울특별시 강남구 대치동 941-18번지 (1층) ,"[37.4990582, 127.0603711]",87.8,22.14,41.838
1054,진미식당,한식,02 5697667,서울특별시 강남구 역삼동 707-1번지 두꺼비빌딩 지하105호 ,"[37.502766, 127.0447426]",77.05,21.12,37.899
1055,프라하,경양식,02 5149396,서울특별시 강남구 논현동 115-3 (지하1층),"[37.5164546, 127.0363107]",85.05,41.2,54.355
1056,완도1957 전복삼계탕 논현점,한식,02 5484617,서울특별시 강남구 논현동 83-10 지하1층,"[37.5163305, 127.0336891]",62.83,14.0,28.649
1057,뽕나무쟁이 대치점,한식,02 5011880,서울특별시 강남구 대치동 896-6번지 (지하1층) ,"[37.5033085, 127.0519179]",65.45,93.14,84.833
1058,남도구들,한식,02  508 2741,서울특별시 강남구 역삼동 746-25번지 지상1 ,"[37.4963562, 127.0374579]",59.09,89.91,80.66399999999999
1059,채근담 역삼점,한식,02 5648254,서울특별시 강남구 역삼동 737-0번지 스타타워지하1층 ,"[37.4999704, 127.0365737]",72.41,78.34,76.561
1060,나주곰탕,경양식,02 5645265,서울특별시 강남구 역삼동 644-19번지 (지하1층) ,"[37.5010771, 127.0349533]",71.03,70.41,70.59599999999999
1061,생활맥주 역삼점,한식,02 5385607,서울특별시 강남구 역삼동 672-31번지 ,"[37.5032468, 127.0392628]",91.33,7.9,32.928999999999995
1062,이맛,한식,02 5019444,서울특별시 강남구 삼성동 153-57번지 ,"[37.5102629, 127.0573328]",68.2,54.29,58.463
1063,올리브,경양식,02 5161429,서울특별시 강남구 논현동 238-8,"[37.5149799, 127.036341]",78.22,88.57,85.46499999999999
1064,(주)샤틴,중국식,02 5762002,서울특별시 강남구 도곡동 467-23번지 인스토피아 3층 ,"[37.4867125, 127.0512424]",66.47,20.68,34.417
1065,호남식당,분식,02 5155657,서울특별시 강남구 신사동 594-28번지 지상1층 ,"[37.5228478, 127.0306139]",53.93,74.92,68.62299999999999
1066,아웃백스테이크하우스코엑스점,경양식,02 5584491,서울특별시 강남구 삼성동 159-0번지 컨벤션별관 지하2층14호 ,"[37.5095948, 127.0594292]",83.23,30.64,46.417
1067,신동궁감자탕뼈숯불구이,한식,02 5587944,서울특별시 강남구 대치동 890-44 1층,"[37.5040676, 127.0528651]",82.41,40.93,53.373999999999995
1068,옛골,한식,02 5655687,서울특별시 강남구 역삼동 827번지 지상1층 ,"[37.506688, 127.0410111]",61.75,9.57,25.223999999999997
1069,윈저,경양식,02 5586820,서울특별시 강남구 역삼동 682-20번지 (지하1층) ,"[37.5098784, 127.0435857]",80.07,24.08,40.876999999999995
1070,참맛식당,분식,02 7311852,서울특별시 강남구 논현동 58-2번지 지상1층110111호 ,"[37.5138229, 127.0289671]",68.15,37.41,46.632
1071,서현실비 청담직영점,한식,02 5457708,서울특별시 강남구 청담동 124-4번지 지상2층 ,"[37.524716, 127.049166]",88.72,43.58,57.122
1072,라마다사우나식당,한식,02 5570111,서울특별시 강남구 삼성동 112-5번지 지하중층 ,"[37.5103037, 127.0452475]",54.3,23.77,32.929
1073,보보스,경양식,02 5532260,서울특별시 강남구 역삼동 677-21번지 지상5층 ,"[37.502537, 127.0398498]",81.32,85.76,84.428
1074,논현골 흑염소,분식,02 5477270,서울특별시 강남구 논현동 181-5번지 ,"[37.507594, 127.0265685]",81.91,30.85,46.16799999999999
1075,미스터피자코엑스2호점,패스트푸드,02 5375410,서울특별시 강남구 삼성동 159-1번지 ,"[37.51032379999999, 127.0610228]",55.18,70.24,65.722
1076,강꼬스시,한식,02 5425892,서울특별시 강남구 논현동 63-10번지 ,"[37.52021269999999, 127.033527]",86.71,1.35,26.958
1077,시래마당,한식,02 5013378,서울특별시 강남구 역삼동 827-71번지 (지하1층) ,"[37.4956923, 127.0317521]",50.5,6.21,19.497
1078,수다 삼성1호점,한식,02 5683177,서울특별시 강남구 삼성동 153-34번지 (지하1지상12층) ,"[37.5110318, 127.057262]",81.53,3.06,26.601
1079,꿈앤들김밥,분식,02 5143559,서울특별시 강남구 신사동 588-0번지 지상1층 ,"[37.5210818, 127.0302883]",59.03,41.64,46.857
1080,블랙콜드(BLACK COLD) 본점,경양식,02 4599842,서울특별시 강남구 일원동 680-4번지 (지상1층),"[37.4899349, 127.083267]",98.74,13.11,38.79899999999999
1081,학사분식,한식,02 5414770,서울특별시 강남구 논현동 175-29번지 지하1층 ,"[37.5091156, 127.0323422]",79.3,32.15,46.295
1082,장원식당,한식,02 5487576,서울특별시 강남구 신사동 540-19번지 (지상1층) ,"[37.5189645, 127.0245102]",63.49,35.8,44.107
1083,아쭈,경양식,02 5535677,서울특별시 강남구 역삼동 819-2번지 (지하1층) ,"[37.4993095, 127.028826]",55.18,18.86,29.755999999999997
1084,엘비노,분식,02 5414261,서울특별시 강남구 신사동 666-27번지 (승경빌딩 2층) ,"[37.5241781, 127.0385928]",54.41,21.19,31.156
1085,일군단,경양식,02 5746694,서울특별시 강남구 도곡동 412-6번지 지하1층 ,"[37.485153, 127.0431784]",91.46,57.44,67.646
1086,쎄바,분식,02 4518575,서울특별시 강남구 수서동 723-0번지 수서6단지(아)상가지하1층12호 ,"[37.4872625, 127.1051693]",71.54,86.91,82.29899999999999
1087,원가화로,한식,02 5544087,서울특별시 강남구 역삼동 798-21번지 (지상1층) ,"[37.4929425, 127.0394999]",83.97,13.95,34.955999999999996
1088,광화문연가,경양식,02 5383320,서울특별시 강남구 역삼동 697-11번지 (지상1층) ,"[37.5052025, 127.0468812]",75.03,75.2,75.149
1089,본죽.비빔밥 카페(cafe),분식,02 5128092,서울특별시 강남구 신사동 514-9,"[37.5178115, 127.0222661]",89.63,40.36,55.141
1090,회장님댁,경양식,02 5694727,서울특별시 강남구 역삼동 817-9번지 ,"[37.500113, 127.0275998]",62.61,90.49,82.12599999999999
1091,대일,경양식,02 5016360,서울특별시 강남구 대치동 912-24번지 (지하1층) ,"[37.5024811, 127.058539]",72.62,34.66,46.048
1092,의정부오뎅부대찌개 청담점,경양식,02 5182430,서울특별시 강남구 청담동 131-10번지 (201호) ,"[37.52333309999999, 127.055821]",64.81,40.17,47.562
1093,규타로,한식,02 5643934,서울특별시 강남구 대치동 624-0번지 남서울 종합시장154호 ,"[37.4933145, 127.0598675]",73.34,3.29,24.305
1094,명가원설농탕,한식,02 5638978,서울특별시 강남구 대치동 991-1번지 남평빌딩1층 ,"[37.4995239, 127.063878]",52.73,9.4,22.399
1095,잔칫집,경양식,02 5120998,서울특별시 강남구 신사동 570-6번지 베드로빌딩 1층 ,"[37.524152, 127.0272993]",97.79,71.54,79.415
1096,백리향,중국식,02 5491020,서울특별시 강남구 논현동 50-8번지 지상1층 ,"[37.5120149, 127.0216947]",55.18,63.41,60.94099999999999
1097,맛짱조개,분식,02 5164787,서울특별시 강남구 논현동 114-14번지 ,"[37.5171236, 127.0363553]",69.14,74.37,72.801
1098,이구펍29클라스(CLASS),경양식,02 5666888,서울특별시 강남구 역삼동 817-10번지 ,"[37.4999828, 127.0276513]",59.01,83.77,76.342
1099,쪼끼쪼끼,경양식,02 5465379,서울특별시 강남구 논현동 116-1번지 ,"[37.51675520000001, 127.0375874]",68.98,65.72,66.698
1100,손가네,한식,02 5012149,서울특별시 강남구 역삼동 681-38번지 102호 ,"[37.5088416, 127.0417247]",69.4,54.72,59.123999999999995
1101,본도시락 신논현역점,한식,02 5671398,서울특별시 강남구 역삼동 601-14 지상1층,"[37.5039558, 127.0261566]",62.5,97.35,86.895
1102,개포동 손칼국수,한식,02 4454596,서울특별시 강남구 개포동 186-12 지상1층,"[37.4887169, 127.0673204]",60.96,61.53,61.358999999999995
1103,도원스타일(STYLE) 무역센터,중국식,02 5522233,서울특별시 강남구 삼성동 159-7번지 현대백화점 ,"[37.50860960000001, 127.0598731]",55.1,6.53,21.101
1104,한방삼계탕,한식,02 5583799,서울특별시 강남구 역삼동 831-18번지 지상1층 ,"[37.493646, 127.03021]",82.36,43.3,55.017999999999994
1105,일우별관,한식,02 5671471,서울특별시 강남구 삼성동 166-8번지 ,"[37.5116326, 127.0655128]",85.38,22.91,41.650999999999996
1106,뮤,경양식,02 5755507,서울특별시 강남구 도곡동 419-9번지 지하1층 ,"[37.4855381, 127.0454452]",88.87,58.31,67.47800000000001
1107,이랑,경양식,02  725 1538,서울특별시 강남구 도곡동 419-0 지하1층,"[37.485696, 127.0455845]",77.63,64.18,68.215
1108,가장맛있는족발 일원점,한식,02 4511330,서울특별시 강남구 일원동 659-5번지 지상1층 ,"[37.4907052, 127.0859541]",96.56,58.21,69.715
1109,작은어촌,한식,02 5620942,서울특별시 강남구 대치동 922-25번지 지상1층 ,"[37.498031, 127.0523578]",64.63,40.31,47.605999999999995
1110,그린후레쉬,한식,02 4510900,서울특별시 강남구 수서동 734-0번지 지상6층 ,"[37.4884467, 127.0987923]",75.46,18.51,35.595
1111,미가네,분식,02 5665400,서울특별시 강남구 대치동 66-0번지 쌍용대치종합상가 지하1층33호 ,"[37.4979951, 127.0709857]",95.15,63.94,73.303
1112,뽕잎사랑신사역점,한식,02 5117555,서울특별시 강남구 신사동 515-8번지 지상1층 ,"[37.518128, 127.0223955]",97.84,16.93,41.203
1113,클럽하우스,경양식,02 5152900,서울특별시 강남구 논현동 209-3번지 ,"[37.5145987, 127.0340236]",77.51,31.79,45.506
1114,탄,분식,02 5681444,서울특별시 강남구 대치동 957-5번지 지상2층 ,"[37.5056678, 127.0586121]",83.89,5.64,29.115
1115,옛맛명동칼국수,한식,02 5015357,서울특별시 강남구 대치동 957-6번지 ,"[37.5057178, 127.0587743]",63.26,32.92,42.022
1116,대학로김가네김밥,분식,02 5558388,서울특별시 강남구 역삼동 700-23번지 ,"[37.5047923, 127.0431767]",92.04,53.0,64.71199999999999
1117,가람국시,한식,02 5464513,서울특별시 강남구 논현동 83-19번지 지상1층 ,"[37.5167545, 127.0340806]",50.2,7.26,20.142
1118,기장산곰장어,한식,02 5663995,서울특별시 강남구 역삼동 700-1번지 지상1층 ,"[37.506688, 127.0410111]",90.61,19.86,41.085
1119,우리집김밥,분식,02 5535318,서울특별시 강남구 대치동 977-12번지 지하1층1114호 ,"[37.5009694, 127.0636711]",54.03,78.7,71.29899999999999
1120,유성칼국수,분식,02 5579079,서울특별시 강남구 대치동 989-7번지 지상1층 ,"[37.4987858, 127.062374]",80.98,64.67,69.563
1121,이즈,한식,02 5110231,서울특별시 강남구 신사동 578-5번지 지하1층 ,"[37.5256678, 127.0274006]",82.43,17.94,37.287000000000006
1122,소공동뚝배기집,분식,02 5443161,서울특별시 강남구 신사동 653-2번지 지하1층 ,"[37.5245792, 127.0376204]",55.46,91.61,80.76499999999999
1123,목포홍어와 탁주,한식,02 5111388,서울특별시 강남구 논현동 198-9번지 지상1층 ,"[37.5058587, 127.0256987]",87.41,70.7,75.713
